QType,QID,ITEM,Detail
YesNo,S1Q1,Do 3rd parties support your IT services?,List all companies and a high level summary of function.
AllMostSomeNone,S1Q2,Are confidentiality agreements and liability clauses included in 3rd party contracts?,For any agreements without these requirements- please give details to justify.
AllMostSomeNone,S1Q3,Do your 3rd party suppliers and vendors have ISO (or other quality) certifications?,Please detail the certifications per party.
AllMostSomeNone,S1Q4,Are SLAs in place in 3rd party agreements?,If required- please detail where SLAs are incomplete or partially applied.
AllMostSomeNone,S1Q5,Are bonus or malus systems in place in your 3rd party agreements?,Please provide details per party at a high level (if possible).
AllMostSomeNone,S1Q6,Are roles and responsibilities clearly defined in your 3rd party agreements?,If not- please indicate why.
TextField,S1Q7,For each 3rd party- how quickly could a relationship be terminated?,
TextField,S1Q8,For each 3rd party- detail (at a high level) the exit procedure and any risks.,risk example - extraction of our data
YesNo,S1Q9,Do 3rd parties physically access server room(s) or secured locations?,If so- please provide a summary of which parties are accessing which systems.
TextField,S1Q10,Detail your management process: how access added or removed- when or who reviews- history,
YesNo,S1Q11,Do third parties access infrastructure remotely?,If so- please provide a summary of which parties are accessing which systems.
TextField,S1Q12,Detail management process: how access added or removed- when or who reviews- history,
YesNo,S1Q13,Are any third parties managing business processes?,If so- please provide a summary of which parties are managing which services.
YesNo,S1Q14,Is confidential data shared with these partners?,If so- please summarise which data is shared with which parties.
TextField,S1Q15,How does the third party securely store  or  protect the information?,Partners or third parties must store data at least to same the level as MSC internally.
YesNo,S1Q16,Are you regularly relying or using temporary or consultancy staff?,Please summarise which type of staff- for what purpose and how frequently.
TextField,S2Q1,How many Domain Admins,
YesNo,S2Q2,Are AD computer objects regularly being cleaned-up?,Detail how this is performed.
YesNo,S2Q3,Is the internal Active Directory OU well structured?,Please quickly summarise the structure (e.g. Server- Computer- User- Groups).
YesNo,S2Q4,Are DCs backed-up on a daily basis?,Please note any recent major or recurring problems.
YesNo,S2Q5,Are all subnets configured in Sites and Services?,If not- please indicate why.
YesNo,S2Q6,Are OUs protected against accidental bulk deletion?,If not- please indicate why.
YesNo,S2Q7,Are (MSC standard) good or strong Password policies in place?,If not- please indicate why.
YesNo,S2Q8,Is SMBv1 disabled?,If not- please indicate why.
YesNo,S2Q9,Is NTLMv1 disabled?,If not- please indicate why.
YesNo,S2Q10,Are at least 2 DCs present- within the domain- not the site?,If not- please indicate why.
YesNo,S2Q11,Administrative accounts seperated from user accounts (no users in Domain Admins),Do IT staff have a different account for Admin and normal purposes?
YesNo,S2Q12,Are Service Accounts used for applications with targeted permissions?,If not- please indicate why.  If so- please provide a summary of account structure.
YesNo,S2Q13,Check or confirm no duplicate SPNs present.,Detail any duplicate SPNs.
YesNo,S2Q14,Check or confirm no duplicate UPNs present.,Detail any duplicate UPNs.
YesNo,S2Q15,Check or confirm Domain Users memberOf count is 1,Detail Domain Users memberOf actual count.
YesNo,S2Q16,Confirm Kerberos Token size is set to 48KB,
YesNo,S2Q17,Confirm no Stale domain or forest trust relationships found,Detail any stale relationships found.
YesNo,S2Q18,Check or confirm no unsupported OSes found in any AD Computer Objects,If unsupported OSes found- please detail.
YesNo,S2Q19,Check or confirm at domain level that Windows Time Service used.,If not- please detail time source(s).
YesNo,S2Q20,Confirm all DCs are only being used for approved roles - KMS or DNS or DHCP.,If not- detail each DC and the extra roles to be migrated or removed.
YesNo,S2Q21,Is Applocker (GPO) enabled?,If not- why not. If so- are policies defined and being managed?
AllMostSomeNone,S2Q22,Is Bitlocker enabled on all disks?,If not- why not.
YesNo,S2Q23,Are Bitlocker keys being stored in Active Directory?,If not- why not.
AllMostSomeNone,S2Q24,Is LAPS (Local Admin Password Solution) implemented?,If not- why not.
YesNo,S2Q25,Are MSC naming standards being followed?,If not- why not.
YesNo,S2Q26,Is the AD Forest Functional level at least 2012 R2?,If not- why not and what is the timeframe for upgrade?
YesNo,S3Q1,Is standard corporate Antivirus installed?,Which product?
YesNo,S3Q2,Are appropriate exclusions configured?,SQL Server  or  Oracle- Cluster Services- Hypervisors
YesNo,S3Q3,Are all machines confirmed virus and malware free?,Provide evidence to confirm this.
YesNo,S3Q4,Are AV alerts configured- and functional?,Detail who is notified- and how.
YesNo,S3Q5,Are reports generated confirming machine health?,Confirm process and details.  If possible review (and provide details) of the latest report.
YesNo,S4Q1,Are licenses counts and usage being tracked or maintained?,How is this done? (Product- process)
YesNo,S4Q2,Are all critical (local) business applications known or listed?,How is this done? (Product- process)
AllMostSomeNone,S4Q3,Are all critical applications or software covered with a maintenance and support agreement?,How are these support and maintenance agreements managed and renewed?
TextField,S4Q4,How are these critical applications monitored?,Detail how this is performed.
TextField,S4Q5,Is critical application access controlled?,I not- explain why- if so please outline process.
YesNo,S4Q6,Has the agency deployed SAP?,If appropriate- note current version.
